                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.994,                 3.3292,                 1.2025,                0.65244,                0.63066,                0.69058,                0.29682,                 1.9424,                 1.4845,                 1.1747,             0.00022217,             0.00022217,             0.00022217
                      2,                 1.8072,                 1.8651,                 1.1639,                0.78954,                0.74641,                0.81694,                0.36429,                 1.8267,                 1.2197,                 1.1434,              0.0004269,              0.0004269,              0.0004269
                      3,                 1.7765,                 1.4376,                 1.1609,                0.81861,                0.77505,                0.85765,                  0.391,                 1.7933,                 1.1228,                 1.1348,             0.00061403,             0.00061403,             0.00061403
                      4,                 1.7356,                 1.2563,                 1.1539,                0.83706,                0.76472,                0.85278,                0.39252,                 1.7694,                 1.1041,                 1.1653,             0.00058776,             0.00058776,             0.00058776
                      5,                 1.6865,                 1.1563,                 1.1298,                0.87683,                0.81217,                0.89209,                0.42455,                 1.7369,                  0.992,                 1.1236,             0.00058776,             0.00058776,             0.00058776
                      6,                 1.6715,                 1.0792,                 1.1255,                0.88012,                0.84211,                0.91075,                 0.4388,                 1.7586,                0.94846,                 1.1426,             0.00056135,             0.00056135,             0.00056135
                      7,                 1.6516,                0.99378,                 1.1188,                0.87218,                0.84325,                0.90012,                0.43806,                 1.7108,                0.94071,                 1.1282,             0.00053493,             0.00053493,             0.00053493
                      8,                 1.6434,                0.98637,                 1.1114,                0.87922,                  0.863,                0.91227,                0.45862,                 1.6514,                0.89507,                 1.1145,             0.00050852,             0.00050852,             0.00050852
                      9,                 1.6172,                0.94645,                 1.1023,                0.91306,                0.88603,                0.92937,                 0.4676,                 1.6787,                0.83645,                 1.1217,             0.00048211,             0.00048211,             0.00048211
                     10,                  1.599,                 0.9088,                 1.0959,                0.91512,                0.86866,                 0.9284,                0.46646,                 1.6564,                0.83108,                 1.0992,             0.00045569,             0.00045569,             0.00045569
                     11,                 1.5773,                 0.8787,                 1.0908,                0.90283,                 0.9005,                0.93754,                 0.4744,                 1.6615,                0.80074,                 1.1113,             0.00042928,             0.00042928,             0.00042928
                     12,                 1.5562,                0.83854,                 1.0806,                0.92549,                0.90636,                0.93499,                0.47848,                 1.6506,                   0.78,                 1.1006,             0.00040287,             0.00040287,             0.00040287
                     13,                 1.5558,                0.82339,                 1.0797,                0.92379,                0.91226,                0.94088,                0.48619,                 1.6304,                0.75987,                 1.0953,             0.00037645,             0.00037645,             0.00037645
                     14,                 1.5402,                0.82185,                 1.0776,                0.93093,                0.90637,                0.94506,                0.47877,                 1.6708,                0.77504,                 1.1056,             0.00035004,             0.00035004,             0.00035004
                     15,                 1.5159,                0.79087,                 1.0634,                0.93712,                0.89938,                0.94242,                0.49067,                 1.6227,                0.75267,                 1.0895,             0.00032363,             0.00032363,             0.00032363
                     16,                 1.5005,                0.73494,                 1.0737,                0.91723,                0.92203,                0.94125,                0.49034,                 1.6077,                0.75936,                 1.0818,             0.00029722,             0.00029722,             0.00029722
                     17,                 1.4803,                0.70561,                 1.0644,                  0.924,                0.91968,                0.94626,                0.49623,                 1.5927,                0.73436,                 1.0787,              0.0002708,              0.0002708,              0.0002708
                     18,                 1.4793,                0.69702,                 1.0602,                0.94043,                0.91106,                0.94546,                0.50696,                 1.5578,                0.72259,                 1.0649,             0.00024439,             0.00024439,             0.00024439
                     19,                 1.4595,                0.68178,                 1.0607,                0.94578,                  0.922,                0.95344,                0.51157,                 1.5698,                0.70889,                  1.072,             0.00021798,             0.00021798,             0.00021798
                     20,                 1.4447,                0.67202,                 1.0489,                0.94278,                0.92507,                0.95261,                0.51463,                 1.5483,                0.69134,                  1.063,             0.00019156,             0.00019156,             0.00019156
                     21,                 1.4262,                 0.6598,                  1.044,                0.94723,                0.91647,                0.94898,                0.51657,                 1.5628,                0.69177,                 1.0658,             0.00016515,             0.00016515,             0.00016515
                     22,                 1.4148,                 0.6484,                 1.0377,                0.94659,                 0.9191,                0.94908,                0.51156,                 1.5601,                0.69011,                 1.0631,             0.00013874,             0.00013874,             0.00013874
                     23,                 1.3974,                 0.6344,                  1.032,                0.93905,                0.92444,                0.95156,                0.52269,                 1.5469,                0.67673,                 1.0615,             0.00011232,             0.00011232,             0.00011232
                     24,                 1.3776,                0.62506,                 1.0305,                0.94371,                0.92776,                0.95503,                 0.5235,                 1.5411,                0.67237,                 1.0626,              8.591e-05,              8.591e-05,              8.591e-05
                     25,                 1.3724,                0.61333,                 1.0275,                0.95398,                0.92434,                0.95562,                0.52849,                  1.527,                0.66687,                 1.0563,             5.9496e-05,             5.9496e-05,             5.9496e-05
