                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2116,                 2.2891,                 1.3456,                0.50833,                0.46822,                 0.5056,                0.21489,                  2.012,                 1.8042,                  1.331,               0.070022,              0.0033309,              0.0033309
                      2,                 2.1264,                 1.8526,                 1.3021,                0.47491,                0.54726,                0.59739,                0.24285,                 2.0186,                 1.8037,                 1.3022,                0.04002,              0.0066626,              0.0066626
                      3,                 2.0364,                  1.672,                 1.2643,                0.53067,                0.56684,                0.59331,                0.24895,                 1.9497,                 1.5887,                 1.2716,               0.010012,              0.0099878,              0.0099878
                      4,                  1.992,                  1.575,                 1.2428,                0.66497,                0.46129,                 0.5944,                0.24633,                 2.0128,                 1.6313,                 1.2898,               0.009978,               0.009978,               0.009978
                      5,                 1.9699,                 1.5117,                 1.2419,                0.69378,                0.66129,                0.74889,                0.34141,                 1.8475,                 1.3208,                 1.2245,               0.009978,               0.009978,               0.009978
                      6,                 1.9229,                 1.4337,                 1.2191,                0.73964,                0.65685,                0.73859,                0.33702,                 1.8284,                 1.3138,                 1.2199,               0.009961,               0.009961,               0.009961
                      7,                 1.8977,                 1.3554,                  1.207,                0.76198,                0.69177,                0.77732,                0.36824,                  1.782,                 1.1861,                 1.2048,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.9104,                 1.3365,                 1.2104,                0.82738,                0.73505,                0.82156,                0.38637,                 1.8323,                 1.1013,                 1.2168,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.8573,                 1.2612,                 1.1853,                0.80946,                0.76112,                0.82056,                0.37912,                 1.8122,                 1.0784,                 1.2092,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.8245,                  1.211,                 1.1711,                0.80968,                0.76334,                 0.8435,                 0.4007,                  1.782,                 1.0353,                 1.1975,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.8238,                 1.1925,                 1.1779,                0.78088,                0.77479,                0.83871,                0.38773,                 1.8043,                 1.0446,                 1.2093,              0.0098035,              0.0098035,              0.0098035
                     12,                 1.8238,                 1.1879,                 1.1717,                0.81064,                0.74269,                0.83518,                0.39343,                 1.7993,                 1.0534,                 1.2034,              0.0097577,              0.0097577,              0.0097577
                     13,                 1.7912,                 1.1453,                 1.1642,                0.83322,                0.75285,                0.85103,                0.40413,                 1.7637,                 1.0184,                 1.1938,              0.0097074,              0.0097074,              0.0097074
                     14,                 1.8064,                 1.1592,                 1.1657,                0.81539,                0.76075,                0.85258,                0.41537,                 1.7567,                 1.0214,                 1.1867,              0.0096524,              0.0096524,              0.0096524
                     15,                 1.7716,                 1.1023,                 1.1577,                 0.8725,                0.82771,                0.89055,                0.44253,                 1.7144,                0.93384,                   1.17,              0.0095929,              0.0095929,              0.0095929
                     16,                 1.7697,                 1.0882,                  1.154,                0.83107,                0.82397,                0.87306,                0.43124,                 1.7353,                0.95321,                 1.1775,              0.0095289,              0.0095289,              0.0095289
                     17,                 1.7541,                 1.0864,                 1.1493,                0.83814,                0.80229,                0.87399,                0.43888,                 1.6922,                0.94272,                 1.1644,              0.0094605,              0.0094605,              0.0094605
                     18,                 1.7536,                 1.0857,                 1.1479,                0.85315,                 0.7938,                0.87012,                0.42999,                 1.7066,                 0.9571,                  1.168,              0.0093877,              0.0093877,              0.0093877
                     19,                 1.7402,                 1.0422,                 1.1406,                 0.8793,                0.83794,                0.89854,                0.44115,                 1.7325,                0.89624,                 1.1737,              0.0093107,              0.0093107,              0.0093107
                     20,                 1.7368,                 1.0303,                 1.1389,                0.85753,                0.84116,                0.90012,                0.45449,                 1.6704,                0.89609,                 1.1536,              0.0092294,              0.0092294,              0.0092294
                     21,                 1.7207,                 1.0129,                 1.1374,                0.86851,                0.82815,                0.89425,                0.44486,                 1.6943,                0.92404,                 1.1642,               0.009144,               0.009144,               0.009144
                     22,                  1.715,                 1.0073,                 1.1326,                0.88693,                0.80198,                0.88501,                  0.439,                 1.7139,                0.90502,                  1.168,              0.0090546,              0.0090546,              0.0090546
